index	label	cifti_label	color_red	color_green	color_blue	opacity
195	cHipp_L	cHipp_L	255	100	51	0
196	cHipp_R	cHipp_R	255	97	49	0
197	vCa_L	vCa_L	255	95	48	0
198	vCa_R	vCa_R	255	92	46	0
199	GP_L	GP_L	255	89	45	0
200	GP_R	GP_R	255	86	43	0
201	NAC_L	NAC_L	255	83	42	0
202	NAC_R	NAC_R	255	80	40	0
203	vmPu_L	vmPu_L	255	77	39	0
204	vmPu_R	vmPu_R	255	74	37	0
205	dCa_L	dCa_L	255	71	36	0
206	dCa_R	dCa_R	255	68	34	0
207	dlPu_L	dlPu_L	255	65	32	0
208	dlPu_R	dlPu_R	255	62	31	0
209	mPFtha_L	mPFtha_L	255	59	29	0
210	mPFtha_R	mPFtha_R	255	56	28	0
211	mPMtha_L	mPMtha_L	255	53	26	0
212	mPMtha_R	mPMtha_R	255	49	25	0
213	Stha_L	Stha_L	255	46	23	0
214	Stha_R	Stha_R	255	43	21	0
215	rTtha_L	rTtha_L	255	40	20	0
216	rTtha_R	rTtha_R	255	37	18	0
217	PPtha_L	PPtha_L	255	34	17	0
218	PPtha_R	PPtha_R	255	31	15	0
219	Otha_L	Otha_L	255	28	14	0
220	Otha_R	Otha_R	255	25	12	0
221	cTtha_L	cTtha_L	255	21	10	0
222	cTtha_R	cTtha_R	255	18	9	0
223	lPFtha_L	lPFtha_L	255	15	7	0
224	lPFtha_R	lPFtha_R	255	12	6	0
225	BRAIN_STEM	BRAIN_STEM	255	9	4	0
226	CEREBELLUM_LEFT	CEREBELLUM_LEFT	255	6	3	0
227	CEREBELLUM_RIGHT	CEREBELLUM_RIGHT	255	3	1	0
